not using,entry complete,accession,length,host,country,state,county,city,isolation,collection_date,latitude,longitude,name,notes,remove
,x,DQ080051,11029,Culex tarsalis,USA,Arizona,Cochise,,,2003,,,"West Nile virus isolate A-AZ-03-1623 polyprotein precursor, gene, complete cds",,
,x,DQ080052,11029,Culex tarsalis,USA,Arizona,Maricopoa,,,2003,,,"West Nile virus isolate B-AZ-03-1681 polyprotein precursor, gene, complete cds",,
,x,DQ080053,11029,Culex tarsalis,USA,Arizona,Apache,,,2003,,,"West Nile virus isolate C-AZ-03 03-1799 polyprotein precursor, gene, complete cds",,
,x,DQ080054,11029,Culex quinquefasciatus,USA,California,Los Angeles,Los Angeles,,2003,,,"West Nile virus isolate E-CA-03 GRLA-1260 polyprotein precursor, gene, complete cds",,
,x,DQ080055,11018,Culex tarsalis,USA,California,Imperial,Imperial Valley,,2003,,,"West Nile virus isolate F-CA-03 IMPR 102 polyprotein precursor, gene, complete cds",,
,x,DQ080056,11019,Culex tarsalis,USA,California,Imperial,Imperial Valley,,2003,,,"West Nile virus isolate G-CA-03 IMPR-1075 polyprotein precursor, gene, complete cds",,
,x,DQ080057,10956,Corvus,USA,California,Los Angeles,Arcadia,,2003,,,"West Nile virus isolate I-CA-03 Arcadia-S0331532 polyprotein precursor, gene, complete cds",,
,x,DQ080058,11029,Corvus,USA,California,Los Angeles,Arcadia,,2003,,,"West Nile virus isolate J-CA-03 Arcadia-S0334814 polyprotein precursor, gene, complete cds",,
,x,DQ080059,11029,Corvidae,USA,California,Sacramento,Sacremento,,2003,,,"West Nile virus isolate L-CA-04 SAC-04-7168 polyprotein precursor, gene, complete cds",,
,x,DQ080060,10972,Corvus,Mexico,Baja California,Baja California,,,2004,,,"West Nile virus isolate WNVCc polyprotein precursor, gene, complete cds",,
,x,DQ080061,11000,Cardinalis,USA,Louisiana,Iberia ,,,2004,,,"West Nile virus isolate TWN496 polyprotein precursor, gene, complete cds",,
,x,DQ080062,11001,Culicidae,USA,Louisiana,Iberia ,,,2002,,,"West Nile virus isolate TWN165 polyprotein precursor, gene, complete cds",,
,x,DQ080063,10975,Columbidae,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9223 polyprotein precursor, gene, complete cds",,
,x,DQ080064,11001,Fulica,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9222 polyprotein precursor, gene, complete cds",,
,x,DQ080065,10995,Quiscalus,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9221 polyprotein precursor, gene, complete cds",,
,x,DQ080066,11001,Phalacrocoracidae,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9220 polyprotein precursor, gene, complete cds",,
,x,DQ080067,11001,Butorides virescens,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9219 polyprotein precursor, gene, complete cds",,
,x,DQ080068,11001,Ardeidae,Mexico,Baja California,Baja California,,,2003,,,"West Nile virus isolate TVP9218 polyprotein precursor, gene, complete cds",,
,x,DQ080069,10975,Equus caballus,Mexico,Tamaulipas,Tamaulipas,,,2003,,,"West Nile virus isolate TVP9117 polyprotein precursor, gene, complete cds",,
,x,DQ080070,11001,Quiscalus,Mexico,Sonora,Sonora,,,2003,,,"West Nile virus isolate TVP9115 polyprotein precursor, gene, complete cds",,
,x,DQ080071,11000,Equus caballus,Mexico,Florida,Sumter,,,2002,,,"West Nile virus isolate FL234 polyprotein precursor, gene, complete cds",,
,x,DQ080072,11000,Dumetella,USA,Florida,Palm Beach,,,2001,,,"West Nile virus isolate FL232 polyprotein precursor, gene, complete cds",,
,x,DQ164186,11029,Corvus brachyrhynchos,USA,New York,Queens,New York City,,2002,,,"West Nile virus isolate NY 2002 Queens, complete genome",,
,x,DQ164187,11029,Corvus brachyrhynchos,USA,New York,Broome,New York City,,2002,,,"West Nile virus isolate NY 2002 Broome, complete genome",,
,x,DQ164188,11029,Corvus brachyrhynchos,USA,New York,Westchester,New York City,,2003,,,"West Nile virus isolate NY 2003 Westchester, complete genome",,
,x,DQ164189,11029,Corvus brachyrhynchos,USA,New York,Albany,New York City,,2003,,,"West Nile virus isolate NY 2003 Albany, complete genome",,
,x,DQ164190,11029,Corvus brachyrhynchos,USA,New York,Suffolk,New York City,,2003,,,"West Nile virus isolate NY 2003 Suffolk, complete genome",,
,x,DQ164191,11029,Corvus brachyrhynchos,USA,New York,Chautauqua,New York City,,2003,,,"West Nile virus isolate NY 2003 Chautauqua, complete genome",,
,x,DQ164192,11029,Corvus brachyrhynchos,USA,New York,Rockland,New York City,,2003,,,"West Nile virus isolate NY 2003 Rockland, complete genome",,
,x,DQ164193,11029,Corvus brachyrhynchos,USA,New York,Clinton,New York City,,2002,,,"West Nile virus isolate NY 2002 Clinton, complete genome",,
,x,DQ164194,11029,Corvus brachyrhynchos,USA,New York,Suffolk,New York City,,2001,,,"West Nile virus isolate NY 2001 Suffolk, complete genome",,
,x,DQ164195,11029,Culex,USA,New York,Nassau,New York City,,2002,,,"West Nile virus isolate NY 2002 Nassau, complete genome",,
,,DQ164196,11029,Homo sapiens,USA,Georgia,,,,2002,,,"West Nile virus isolate GA 2002 1, complete genome",,
,,DQ164197,11029,Homo sapiens,USA,Georgia,,,,2002,,,"West Nile virus isolate GA 2002 2, complete genome",,
,,DQ164198,11029,Homo sapiens,USA,Texas,,,,2002,,,"West Nile virus isolate TX 2002 1, complete genome",,
,,DQ164199,11029,Homo sapiens,USA,Texas,,,,2003,,,"West Nile virus isolate TX 2003, complete genome",,
,,DQ164200,11029,Homo sapiens,USA,Indiana,,,,2002,,,"West Nile virus isolate IN 2002, complete genome",,
,,DQ164201,11029,Homo sapiens,USA,Arizona,,,,2004,,,"West Nile virus isolate AZ 2004, complete genome",,
,,DQ164202,11029,Homo sapiens,USA,Ohio,,,,2002,,,"West Nile virus isolate OH 2002, complete genome",,
,,DQ164203,11029,Corvidae,USA,Colorado,,,,2003,,,"West Nile virus isolate CO 2003 2, complete genome",,
,,DQ164204,11029,Buteo jamaicensis,USA,Colorado,,,,2003,,,"West Nile virus isolate CO 2003 1, complete genome",,
,,DQ164205,11029,Homo sapiens,USA,Texas,,,,2002,,,"West Nile virus isolate TX 2002 2, complete genome",,
,,DQ164206,11029,Cyanocitta cristata,USA,Texas,,,,2004,,,"West Nile virus isolate TX 2004 Harris 4, complete genome",,
,,DQ176637,10678,Quiscalus quiscula,USA,Texas,,,,2002,,,"West Nile virus strain TX 2002-HC, complete genome",,
x,,DQ211652,11029,,USA,,,,,,,,"West Nile virus strain NY99, complete genome",,
,,DQ431693,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-20TX polyprotein precursor, gene, complete cds",,
,,DQ431694,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-22TX polyprotein precursor, gene, complete cds",,
,,DQ431695,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-82IL polyprotein precursor, gene, complete cds",,
,,DQ431696,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-104WI polyprotein precursor, gene, complete cds",,
,,DQ431697,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-113FL polyprotein precursor, gene, complete cds",,
,,DQ431698,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-120FL polyprotein precursor, gene, complete cds",,
,,DQ431699,10520,Homo sapiens,USA,,,,blood,2003,,,"West Nile virus isolate 03-124FL polyprotein precursor, gene, complete cds",,
,,DQ431700,10480,Homo sapiens,USA,California,,,blood,2004,,,"West Nile virus isolate 04-213CA polyprotein precursor, gene, complete cds",,
,,DQ431701,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-214CO polyprotein precursor, gene, complete cds",,
,,DQ431702,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-216CO polyprotein precursor, gene, complete cds",,
,,DQ431703,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-218CO polyprotein precursor, gene, complete cds",,
,,DQ431704,10521,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-219CO polyprotein precursor, gene, complete cds",,
,,DQ431705,10840,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-233ND polyprotein precursor, gene, complete cds",,
,,DQ431706,10843,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-236NM polyprotein precursor, gene, complete cds",,
,,DQ431707,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-237NM polyprotein precursor, gene, complete cds",,
,x,DQ431708,10521,Homo sapiens,USA,California,San Diego,,blood,7/16/2004,,,"West Nile virus isolate 04-238CA polyprotein precursor, gene, complete cds",,
,x,DQ431709,10521,Homo sapiens,USA,California,Los Angeles,,blood,7/16/2004,,,"West Nile virus isolate 04-240CA polyprotein precursor, gene, complete cds",,
,x,DQ431710,10846,Homo sapiens,USA,California,Los Angeles,,blood,7/31/2004,,,"West Nile virus isolate 04-244CA polyprotein precursor, gene, complete cds",,
,,DQ431711,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-251AZ polyprotein precursor, gene, complete cds",,
,,DQ431712,10520,Homo sapiens,USA,,,,blood,2004,,,"West Nile virus isolate 04-252AZ polyprotein precursor, gene, complete cds",,
,,DQ666448,11029,,USA,,,,,2004,,,"West Nile virus isolate BSL5-2004, complete genome",,
,,DQ666449,11029,,USA,,,,,2005,,,"West Nile virus isolate GCTX1-2005, complete genome",,
,,DQ666450,11029,,USA,,,,,2005,,,"West Nile virus isolate GCTX2-2005, complete genome",,
,,DQ666451,11029,,USA,,,,,2005,,,"West Nile virus isolate BSL13-2005, complete genome",,
,,DQ666452,11015,,USA,,,,,2005,,,"West Nile virus isolate BSL2-2005, complete genome",,
,,DQ983578,10988,Culex nigripalpus,USA,,,,,,,,"West Nile virus strain FLO3-FL2-3, partial genome",,
x,,EF530047,11029,Corvus brachyrhynchos,USA,,,,"kidney,abdominal cavity",2000,,,"West Nile virus strain 3356.2.1.1, complete genome",,
x,,EF571854,11029,Tissue culture cells,USA,,,,,,,,"West Nile virus strain 385-99, complete genome",,
x,,EF657887,11029,Corvus brachyrhynchos,USA,,,,"kidney,abdominal cavity",2000,,,"West Nile virus strain 3356K VP2, complete genome",,
x,,EU155484,10822,,USA,,,,,,,,"West Nile virus strain OK03, complete genome",,
x,,FJ527738,11029,Cyanocitta cristata,USA,,,,,2001,,,"West Nile virus strain LSU-AR01, complete genome",,
x,,GQ379156,11029,Corvus,USA,,,,,2001/07,,,"West Nile virus strain FL2001 crow 67030, complete genome",,
x,,GQ379157,11029,Corvus,USA,,,,,2008/08,,,"West Nile virus strain DB080718-14, complete genome",,
x,,GQ379158,11029,Culex tarsalis,USA,,,,,2007/08,,,"West Nile virus strain ORCO0559-07, complete genome",,
x,,GQ379159,11029,Sciuridae,USA,,,,,2008/08,,,"West Nile virus strain JPW080813-01, complete genome",,
x,,GQ379160,11029,Equus caballus,Argentina,,,,brain,2006/02,,,"West Nile virus strain ArEq001, complete genome",,
x,,GQ379161,11029,Equus caballus,Argentina,,,,brain,2006/02,,,"West Nile virus strain ArEq003, complete genome",,
,x,GQ507468,10500,Homo sapiens,USA,Texas,El Paso County,El Paso,blood,08/03/2005,,,"West Nile virus isolate 007WG-TX05EP polyprotein gene, complete cds",,
,x,GQ507469,10500,Homo sapiens,USA,New Mexico,Doña Ana County,La Cruces,blood,09/01/2005,,,"West Nile virus isolate 009WG-NM05LC polyprotein gene, complete cds",,
,x,GQ507470,10500,Homo sapiens,USA,Texas,El Paso County,El Paso,blood,08/30/2006,,,"West Nile virus isolate 011WG-TX06EP polyprotein gene, complete cds",,
,x,GQ507471,10825,Homo sapiens,USA,Texas,El Paso County,El Paso,blood,06/23/2007,,,"West Nile virus isolate 013WG-TX07EP polyprotein gene, complete cds",,
,x,GQ507472,10825,Homo sapiens,USA,California,Orange County,Orange,blood,07/14/2003,,,"West Nile virus isolate 024WG-CA03OR polyprotein gene, complete cds",,
,x,GQ507473,10825,Homo sapiens,USA,California,Los Angeles County,Panorama City,blood,07/24/2004,,,"West Nile virus isolate 080WG-CA04LA polyprotein gene, complete cds",,
,x,GQ507474,10825,Homo sapiens,USA,California,San Bernadino County,Highland,blood,08/27/2004,,,"West Nile virus isolate 091WG-CA04SB polyprotein gene, complete cds",,
,x,GQ507475,10825,Homo sapiens,USA,California,San Bernadino County,Yucaipa,blood,06/27/2005,,,"West Nile virus isolate 099WG-CA05SB polyprotein gene, complete cds",,
,x,GQ507476,10825,Homo sapiens,USA,California,San Bernadino County,Chino Hills,blood,07/27/2005,,,"West Nile virus isolate 101WG-CA05SB polyprotein gene, complete cds",,
,x,GQ507477,10825,Homo sapiens,USA,California,Los Angeles County,Lakewood,blood,08/01/2005,,,"West Nile virus isolate 103WG-CA05LA polyprotein gene, complete cds",,
,x,GQ507478,10825,Homo sapiens,USA,California,Los Angeles County,Lakewood,blood,08/26/2005,,,"West Nile virus isolate 116WG-CA05LA polyprotein gene, complete cds",,
,x,GQ507479,10820,Homo sapiens,USA,Arizona,Pima County,Tucson,blood,09/09/2005,,,"West Nile virus isolate 124WG-AZ05PI polyprotein gene, complete cds",,
,x,GQ507480,10825,Homo sapiens,USA,California,Los Angeles County,South Gate,blood,10/04/2005,,,"West Nile virus isolate 132WG-CA05LA polyprotein gene, complete cds",,
,x,GQ507481,10825,Homo sapiens,USA,Nebraska,Douglas County,Omaha,blood,08/22/2006,,,"West Nile virus isolate 142WG-NE06DO polyprotein gene, complete cds",,
,x,GQ507482,10825,Homo sapiens,USA,Arizona,Pima County,Tucson,blood,09/03/2006,,,"West Nile virus isolate 144WG-AZ06PI polyprotein gene, complete cds",,
,x,GQ507483,10825,Homo sapiens,USA,California,Los Angeles County,Covina,blood,08/02/2007,,,"West Nile virus isolate 148WG-CA07LA polyprotein gene, complete cds",,
,x,GQ507484,10825,Homo sapiens,USA,California,Los Angeles County,Northridge,blood,08/16/2007,,,"West Nile virus isolate 149WG-CA07LA polyprotein gene, complete cds",,
,x,GU827998,10941,Cyanocitta cristata,USA,Texas,Harris County,Houston,,2002,,,"West Nile virus isolate Bird114 polyprotein gene, complete cds",,
,x,GU827999,10992,Cyanocitta cristata,USA,Texas,Montgomery County,,,2003,,,"West Nile virus isolate Bird1576 polyprotein gene, complete cds",,
,x,GU828000,10978,Cyanocitta cristata,USA,Texas,Harris County,,,2003,,,"West Nile virus isolate Bird1175 polyprotein gene, complete cds",,
,x,GU828001,10959,Culex quinquefasciatus,USA,Texas,Harris County,Houston,pooled insects,2003,,,"West Nile virus isolate v4380 polyprotein gene, complete cds",,
,x,GU828002,10958,Culex quinquefasciatus,USA,Texas,Harris County,Houston,pooled insects,2003,,,"West Nile virus isolate v4095 polyprotein gene, complete cds",,
,x,GU828003,10936,Zenaida macroura,USA,Texas,Jefferson County,,,2003,,,"West Nile virus isolate Bird1881 polyprotein gene, complete cds",,
,x,GU828004,10959,Cyanocitta cristata,USA,Texas,Montgomery County,,,2003,,,"West Nile virus isolate Bird1519 polyprotein gene, complete cds",,
,x,HM488114,11020,Aedes cinereus,USA,Connecticut,Fairfield County,Stratford,pooled insects,10/01/2002,,,"West Nile virus isolate WNV-1/US/BID-V4102/2002, complete genome",,
,x,HM488115,10621,Culex salinarius,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/22/2005,,,"West Nile virus isolate WNV-1/US/BID-V4103/2005, complete genome",,
,x,HM488116,10904,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/22/2005,,,"West Nile virus isolate WNV-1/US/BID-V4104/2005, complete genome",,
,x,HM488117,10621,Ochlerotatus triseriatus,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/22/2005,,,"West Nile virus isolate WNV-1/US/BID-V4105/2005, complete genome",,
,x,HM488118,10622,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/29/2005,,,"West Nile virus isolate WNV-1/US/BID-V4107/2005, complete genome",,
,x,HM488119,10622,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2005,,,"West Nile virus isolate WNV-1/US/BID-V4108/2005, complete genome",,
,x,HM488120,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2005,,,"West Nile virus isolate WNV-1/US/BID-V4109/2005, complete genome",,
,x,HM488121,10718,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/25/2005,,,"West Nile virus isolate WNV-1/US/BID-V4110/2005, complete genome",,
x,x,HM488122,10617,Culex pipiens,USA,Connecticut,,,pooled insects,2006,,,"West Nile virus isolate WNV-1/CTFS/BID-V4111/2006, complete genome",,
x,x,HM488123,10449,Culex pipiens,USA,Connecticut,,,pooled insects,2006,,,"West Nile virus isolate WNV-1/CTFS/BID-V4112/2006, complete genome",,
x,x,HM488124,10622,Mesocricetus auratus,USA,Connecticut,,,,2006,,,"West Nile virus isolate WNV-1/CTFS/BID-V4113/2006, complete genome",,
,x,HM488125,10516,Corvus brachyrhynchos,USA,Connecticut,Fairfield County,Stratford,,09/29/1999,,,"West Nile virus isolate WNV-1/US/BID-V4186/1999, complete genome",,
,x,HM488126,10598,Corvus brachyrhynchos,USA,Connecticut,Fairfield County,Stratford,,09/25/1999,,,"West Nile virus isolate WNV-1/US/BID-V4187/1999, complete genome",,
,x,HM488127,10625,Corvus brachyrhynchos,USA,Connecticut,Fairfield County,Stratford,,09/24/1999,,,"West Nile virus isolate WNV-1/US/BID-V4188/1999, complete genome",,
,x,HM488128,10616,Corvus brachyrhynchos,USA,Connecticut,Fairfield County,Stratford,,09/27/1999,,,"West Nile virus isolate WNV-1/US/BID-V4189/1999, complete genome",,
,x,HM488129,10617,Culex salinarius,USA,Connecticut,New Haven County,Milford,pooled insects,09/21/2000,,,"West Nile virus isolate WNV-1/US/BID-V4191/2000, complete genome",,
,x,HM488130,10621,Culex salinarius,USA,Connecticut,New Haven County,Milford,pooled insects,09/18/2000,,,"West Nile virus isolate WNV-1/US/BID-V4192/2000, complete genome",,
,x,HM488131,10620,Culex pipiens,USA,Connecticut,New Haven County,Milford,pooled insects,09/21/2000,,,"West Nile virus isolate WNV-1/US/BID-V4193/2000, complete genome",,
,x,HM488132,10621,Culiseta melanura,USA,Connecticut,Fairfield County,Shelton,pooled insects,09/20/2000,,,"West Nile virus isolate WNV-1/US/BID-V4194/2000, complete genome",,
,x,HM488133,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,07/16/2001,,,"West Nile virus isolate WNV-1/US/BID-V4195/2001, complete genome",,
,x,HM488134,10513,Ochlerotatus sollicitans,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2001,,,"West Nile virus isolate WNV-1/US/BID-V4198/2001, complete genome",,
,x,HM488135,10621,Ochlerotatus cantator,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2001,,,"West Nile virus isolate WNV-1/US/BID-V4199/2001, complete genome",,
,x,HM488136,10621,Culex restuans,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/07/2001,,,"West Nile virus isolate WNV-1/US/BID-V4200/2001, complete genome",,
,x,HM488137,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/20/2002,,,"West Nile virus isolate WNV-1/US/BID-V4202/2002, complete genome",,
,x,HM488138,10621,Culex restuans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/18/03,,,"West Nile virus isolate WNV-1/US/BID-V4207/2003, complete genome",,
,x,HM488139,10445,Culex salinarius,USA,Connecticut,Fairfield County,Stratford,pooled insects,10/07/03,,,"West Nile virus isolate WNV-1/US/BID-V4208/2003, complete genome",,
,x,HM488140,10466,Aedes vexans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/12/03,,,"West Nile virus isolate WNV-1/US/BID-V4210/2003, complete genome",,
,x,HM488141,10523,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/16/03,,,"West Nile virus isolate WNV-1/US/BID-V4212/2003, complete genome",,
,x,HM488142,10421,Ochlerotatus triseriatus,USA,Connecticut,Fairfield County,Stratford,pooled insects,07/12/2004,,,"West Nile virus isolate WNV-1/US/BID-V4214/2004, complete genome",,
,x,HM488143,10621,Aedes cinereus,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/09/2004,,,"West Nile virus isolate WNV-1/US/BID-V4215/2004, complete genome",,
,x,HM488144,11029,Culex restuans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/17/2004,,,"West Nile virus isolate WNV-1/US/BID-V4216/2004, complete genome",,
,x,HM488145,10621,Aedes vexans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/30/2004,,,"West Nile virus isolate WNV-1/US/BID-V4217/2004, complete genome",,
,x,HM488146,10518,Psorophora ferox,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/30/2004,,,"West Nile virus isolate WNV-1/US/BID-V4218/2004, complete genome",,
,x,HM488147,10621,Culex salinarius,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/13/2004,,,"West Nile virus isolate WNV-1/US/BID-V4219/2004, complete genome",,
,x,HM488148,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,10/4/2004,,,"West Nile virus isolate WNV-1/US/BID-V4220/2004, complete genome",,
,x,HM488149,10621,Ochlerotatus cantator,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/01/2005,,,"West Nile virus isolate WNV-1/US/BID-V4223/2005, complete genome",,
,x,HM488150,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2005,,,"West Nile virus isolate WNV-1/US/BID-V4224/2005, complete genome",,
,x,HM488151,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/06/2005,,,"West Nile virus isolate WNV-1/US/BID-V4225/2005, complete genome",,
,x,HM488152,10567,Aedes vexans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/16/2005,,,"West Nile virus isolate WNV-1/US/BID-V4226/2005, complete genome",,
,x,HM488153,10643,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/16/2005,,,"West Nile virus isolate WNV-1/US/BID-V4227/2005, complete genome",,
,x,HM488154,10625,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/16/2005,,,"West Nile virus isolate WNV-1/US/BID-V4228/2005, complete genome",,
,x,HM488155,10617,Culex restuans,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/31/2006,,,"West Nile virus isolate WNV-1/US/BID-V4229/2006, complete genome",,
,x,HM488156,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/13/2006,,,"West Nile virus isolate WNV-1/US/BID-V4230/2006, complete genome",,
,x,HM488157,10645,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/18/2006,,,"West Nile virus isolate WNV-1/US/BID-V4231/2006, complete genome",,
,x,HM488158,10504,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,07/31/2006,,,"West Nile virus isolate WNV-1/US/BID-V4232/2006, complete genome",,
,x,HM488159,10434,Culex salinarius,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/14/2006,,,"West Nile virus isolate WNV-1/US/BID-V4233/2006, complete genome",,
,x,HM488160,10617,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/25/2006,,,"West Nile virus isolate WNV-1/US/BID-V4355/2006, complete genome",,
,x,HM488161,10620,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/22/2007,,,"West Nile virus isolate WNV-1/US/BID-V4356/2007, complete genome",,
,x,HM488162,10610,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/04/2007,,,"West Nile virus isolate WNV-1/US/BID-V4357/2007, complete genome",,
,x,HM488163,10621,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/29/2007,,,"West Nile virus isolate WNV-1/US/BID-V4359/2007, complete genome",,
,x,HM488164,10453,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/30/2007,,,"West Nile virus isolate WNV-1/US/BID-V4360/2007, complete genome",,
,x,HM488165,10534,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,08/30/2007,,,"West Nile virus isolate WNV-1/US/BID-V4361/2007, complete genome",,
,x,HM488166,10687,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/10/2008,,,"West Nile virus isolate WNV-1/US/BID-V4362/2008, complete genome",,
,x,HM488167,10619,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/10/2008,,,"West Nile virus isolate WNV-1/US/BID-V4363/2008, complete genome",,
,x,HM488168,10706,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/10/2008,,,"West Nile virus isolate WNV-1/US/BID-V4364/2008, complete genome",,
,x,HM488169,10502,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/16/2008,,,"West Nile virus isolate WNV-1/US/BID-V4365/2008, complete genome",,
,x,HM488170,10620,Culex pipiens,USA,Connecticut,Fairfield County,Stratford,pooled insects,09/16/2008,,,"West Nile virus isolate WNV-1/US/BID-V4366/2008, complete genome",,
,x,HM488171,10854,Culex restuans,USA,Connecticut,Fairfield County,Redding,pooled insects,07/08/2003,,,"West Nile virus isolate WNV-1/US/BID-V4560/2003, complete genome",,
